company,any_continuity,grouping
Bliss (E.W.),,
Block Drug,,
Blockbuster,,
Blount,,
Blue Bell,,
Bluebird,,
BlueLinx Holdings,,
Boatmen's Bancshares,,
BOC,,
Boeing,,
Bohn Aluminum & Brass,,
Boise Cascade Holdings,,
Bond Stores,,
Booking Holdings,,
Booz Allen Hamilton,yes,
Booz Allen Hamilton Holding,yes,
Borden Chemical,yes,
Borden Chemicals & Plastics,yes,
Borders Group,,
BorgWarner,,
Boston Scientific,,
Botany Industries,,
Bowater,,
BP America,,
Bridgeport Brass,,
Briggs & Stratton,yes,
Briggs Manufacturing,yes,
Brighthouse Financial,,
Brightpoint,yes,31
BrightPoint,yes,31
Brink's,,
Brinker International,,
Bristol-Myers Squibb,,
Broadcom,,
Brockway,,
Brooke Group,,
Brown,yes,
Brown Co.,yes,
Brown Shoe,,
Brown-Forman,,
Browning-Ferris Industries,,
Bruno's,,
Brunswick,,
Buckeye Partners,,
Bucyrus-Erie,,
Budd,,
Budget Group,,
Builders FirstSource,,
Bullard,,
Bulova Watch,,
Bunker Ramo,,
Burlington Industries Equity,,
Burlington No. Santa Fe,yes,33
Burlington Northern Santa Fe,yes,33
Burlington Resources,,
Burlington Stores,,
Burrus Mills,,
Butler Manufacturing,,
C. Brewer,,
C.H. Robinson Worldwide,,
C.R. Bard,,
CA,,
Cablevision Systems,,
Cabot,,
Caesars Entertainment,,
CalAtlantic Group,,
Caldor,,
Caliber System,,
California & Hawaiian Sugar,,
Calmat,,
Calpine,,
Calumet & Hecia,,
Calumet Specialty Products,yes,
Calumet Specialty Products Partners,yes,
Cameron International,,
Cameron Iron Works,,
Campbell Soup,,
Campbell Taggart,,
Canada Dry,,
Cannon Mills,,
Capital Cities/ABC,,
Capital One Financial,,
Capitol Industries,,
Carborundum,,
Cardinal Health,,
Caremark International,yes,
Caremark Rx,yes,
Carey (Philip) Manufacturing,,
Carlisle,,
CarMax,,
Carnation,,
Carpenter,yes,
Carpenter Technology,yes,
Carrier,,
Carter-Wallace,,
Case,,
Casey's General Stores,yes,36
Casey’s General Stores,yes,36
Castle & Cooke,,
Catalyst Health Solutions,,
Caterpillar,,
CB Richard Ellis Group,,
