"N0","N","t_1","t_14","o_point"
2,147,1,2,0.0714285714285714
50,147,1,1.36,0.0257142857142857
100,147,1,1.47,0.0335714285714286
150,147,1.01333333333333,1.41333333333333,0.0285714285714286
200,147,1.01,1.43,0.03
300,147,1,1.45,0.0321428571428571
400,147,1,1.4375,0.03125
500,147,1,1.452,0.0322857142857143
